STATE,DISTRICT,YEAR,RAPE,CUSTODIAL RAPE,OTHER RAPE,DOWRY DEATHS,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,CRUELTY BY HUSBAND OR HIS RELATIVES,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,KIDNAPPING & ABDUCTION,ROBBERY,HURT/GREVIOUS HURT,THEFT,BURGLARY,ARSON,DACOITY,TOTAL IPC CRIMES,RISK_SCORE,RISK_LEVEL,MARKER_COLOR
Chhattisgarh,Mahasamund,24078,359,0,359,48,117,265,729,52,0,255,156,18,128,118,2195,2062,1527,90,19,18975,337.44000000000005,MEDIUM,orange
Chhattisgarh,Mungeli,2012,6,0,6,2,13,26,24,3,0,18,4,0,13,9,31,94,83,12,0,1012,14.97,LOW,green
Chhattisgarh,Narayanpur,20075,25,0,25,1,4,6,28,3,0,187,349,0,28,16,191,74,64,61,86,1610,43.480000000000004,LOW,green
Chhattisgarh,Raigarh,24078,557,0,557,78,132,414,1022,87,0,771,357,17,145,402,5150,4053,2679,172,51,29582,604.76,MEDIUM,orange
Chhattisgarh,Raipur,24078,1560,0,1560,180,404,1378,2746,391,2,1113,880,38,517,760,19660,14067,8098,436,71,98510,1815.1600000000003,HIGH,red
Chhattisgarh,Rajnandgaon,24078,664,0,664,76,111,481,893,73,1,539,338,20,132,216,1251,2549,2388,187,39,32999,497.94,MEDIUM,orange
Chhattisgarh,Sarguja,24078,1150,0,1150,15,178,463,1390,25,0,851,390,25,199,394,1716,2463,2299,189,87,25863,652.44,MEDIUM,orange
Chhattisgarh,Sukma,2012,1,0,1,0,5,2,2,0,0,24,30,0,7,3,14,7,8,10,6,205,4.88,LOW,green
Chhattisgarh,Surajpur,16068,544,0,544,24,73,355,553,18,0,416,147,8,86,144,2755,827,798,61,32,11397,309.96000000000004,MEDIUM,orange
D & N Haveli,D And N Haveli,24078,56,0,56,1,94,38,50,4,0,108,31,3,141,30,318,773,388,55,40,4651,88.79,LOW,green
Daman & Diu,Daman,24078,17,0,17,2,11,18,15,1,0,64,32,2,25,18,159,486,423,30,32,2398,48.480000000000004,LOW,green
Daman & Diu,Diu,24078,3,0,3,1,4,17,0,1,0,4,6,0,6,5,31,78,57,4,2,550,8.629999999999999,LOW,green
Delhi Ut,Caw,10050,1,0,1,0,0,789,3,0,0,0,0,0,0,0,2,0,0,0,0,796,63.510000000000005,LOW,green
Delhi Ut,Central,24078,281,0,281,45,665,606,419,131,1,316,315,73,1085,357,1755,15587,1065,24,11,38329,964.96,HIGH,red
Delhi Ut,Crime Branch,10050,4,0,4,0,1,0,0,0,0,4,20,0,4,1,0,17,0,0,0,393,2.8800000000000003,LOW,green
Delhi Ut,East,24078,643,0,643,159,1691,1860,1000,165,0,570,565,90,2793,732,2649,29165,2253,72,64,68298,1982.0100000000002,HIGH,red
Delhi Ut,Eow,10050,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,783,0.14,LOW,green
Delhi Ut,G.R.P.(Rly),10015,8,0,8,6,15,0,18,2,0,43,22,4,25,49,49,5849,8,9,3,6641,245.40000000000003,LOW,green
Delhi Ut,Grp(Rly),14063,19,0,19,5,55,2,27,8,0,58,15,1,115,59,59,5309,9,4,8,6442,235.30000000000004,LOW,green
Delhi Ut,I.G.I. Airport,8010,1,0,1,0,5,1,14,5,0,9,7,2,12,14,14,266,2,1,0,2700,14.15,LOW,green
Delhi Ut,Igi Airport,16068,1,0,1,0,5,2,36,6,0,8,2,2,35,21,6,750,5,0,1,5151,35.52,LOW,green
Delhi Ut,New Delhi,24078,84,0,84,7,181,94,266,130,0,86,88,20,303,191,394,9318,590,19,7,23713,482.17,MEDIUM,orange
Delhi Ut,North,24078,260,0,260,65,721,785,346,139,0,361,275,77,1225,443,1603,12379,1119,54,27,38613,860.3100000000001,HIGH,red
Delhi Ut,North East,8010,195,0,195,71,487,309,148,15,0,236,277,15,652,260,946,3668,579,7,13,13427,363.48,MEDIUM,orange
Delhi Ut,North West,8010,475,0,475,107,951,599,434,71,0,504,435,53,1534,447,1429,9925,1939,40,44,37814,874.4200000000001,HIGH,red
Delhi Ut,North-East,16068,565,0,565,176,1715,1638,660,120,0,527,444,70,2733,467,2173,15265,1078,23,28,41292,1320.1100000000001,HIGH,red
Delhi Ut,North-West,16068,695,0,695,116,1489,1581,555,107,0,594,542,61,2520,827,1630,17635,2325,31,44,50681,1442.16,HIGH,red
Delhi Ut,Outer,12057,410,0,410,141,1598,1107,417,53,0,531,355,73,2653,353,1382,11625,1453,33,28,33853,1062.7,HIGH,red
Delhi Ut,S.T.F.,8010,1,0,1,0,0,0,1,0,0,1,17,0,0,0,0,2,0,0,0,158,1.09,LOW,green
Delhi Ut,South,24078,839,0,839,197,1655,1443,1124,327,0,713,576,88,2390,798,2167,37467,4163,58,38,95628,2381.9700000000003,HIGH,red
Delhi Ut,South West,8010,246,0,246,70,334,289,242,65,0,202,191,17,515,233,642,6517,1457,33,19,21314,490.28000000000003,MEDIUM,orange
Delhi Ut,South-East,10050,391,0,391,76,1089,510,539,140,0,269,193,34,1885,286,1190,12477,886,28,8,31194,920.1899999999999,HIGH,red
Delhi Ut,South-West,16068,501,0,501,134,1249,1209,500,105,0,433,314,64,1904,356,1048,11290,1748,44,16,38093,1015.37,HIGH,red
Delhi Ut,Spl Cell,4007,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,133,0.48,LOW,green
