District,State,total_hospitals,avg_rating,best_hospital_city,best_rating
Paschim Bardhaman,West Bengal,3,3.27,Durgapur,3.8
Paschim Medinipur,West Bengal,2,3.95,Medinipur,4.1
Pathankot,Punjab,2,4.3,Pathankot,4.5
Patiala,Punjab,3,4.67,Patiala,5.0
Patna,Bihar,7,3.9,Patna,4.6
Prakasam,Andhra Pradesh,6,3.87,Ongole,4.7
Prayagraj,Uttar Pradesh,3,4.1,Allahabad,4.2
Puducherry,Pondicherry,2,4.6,Pondicherry,4.8
Pudukkottai,Tamilnadu,1,4.7,Pudukkottai,4.7
Pune,Maharashtra,111,4.15,Pune,5.0
Purba Bardhaman,West Bengal,1,4.6,Burdhwan,4.6
Purnia,Bihar,1,3.0,Purnea,3.0
Raigad,Maharashtra,12,4.12,Raigad,4.8
Raipur,Chattisgarh,10,4.09,Raipur,4.9
Rajkot,Gujarat,2,3.55,Rajkot,3.9
Ramanagara,Karnataka,2,4.5,Ramanagra,4.5
Rewari,Haryana,4,3.9,Rewari,4.5
Rohtak,Haryana,2,4.4,Rohtak,4.4
Rupnagar,Punjab,1,4.1,Ropar,4.1
Sabarkantha,Gujarat,1,4.6,Himmatnagar,4.6
Sahibzada Ajit Singh Nagar,Punjab,12,3.99,Mohali,4.8
Salem,Tamilnadu,13,3.94,Salem,4.9
Sangareddy,Telangana,1,4.3,Sangareddy,4.3
Sawai Madhopur,Rajasthan,1,4.1,Sawai Madhopur,4.1
Shahdol,Madhya Pradesh,1,4.6,Shahdol,4.6
Shimoga,Karnataka,7,3.84,Shimoga,4.9
Sikar,Rajasthan,2,3.75,Sikar,3.9
Sirsa,Haryana,2,4.85,Sirsa,4.9
Sivaganga,Tamilnadu,1,4.8,Karaikudi,4.8
Solan,Himachal Pradesh,3,3.97,Solan,4.2
Sonipat,Haryana,1,3.3,Sonepat,3.3
Sri Ganganagar,Rajasthan,5,4.02,Sriganganagar,4.7
Srikakulam,Andhra Pradesh,1,3.5,Srikakulam,3.5
Srinagar,Jammu Kashmir,3,4.2,Srinagar,4.8
Surat,Gujarat,5,4.48,Surat,4.9
Thane,Maharashtra,227,4.01,Thane,5.0
Thanjavur,Tamilnadu,2,4.2,Thanjavur,4.5
Theni,Tamilnadu,1,4.4,Theni,4.4
Thiruvananthapuram,Kerala,3,4.3,Trivandrum,4.4
Thoothukudi,Tamilnadu,3,4.23,Tuticorin,4.7
Thrissur,Kerala,4,4.5,Trichur,4.8
